date,average_price,total_volume,4046,4225,4770,total_bags,small_bags,large_bags,xlarge_bags,type,year,geography
4/7/19,0.97,49306986.45,14218225.68,12998358.75,1493000.99,20597401.03,12949530.59,7288681.58,359188.86,conventional,2019,Total U.S.
5/5/19,1.22,49213686.42,15439382.06,13655551.28,1033255.45,19085497.63,11663445.5,6985234.27,436817.86,conventional,2019,Total U.S.
9/13/20,0.94,49198202.51,14171358.73,8366190.68,933950.01,25726322.84,17408243.43,7581718.48,736360.93,conventional,2020,Total U.S.
3/22/20,1.16,48981846.51,15236174.5,8484263.47,425086.68,24836313.77,14431165.98,9912371.31,492776.48,conventional,2020,Total U.S.
3/17/19,0.94,48744675.54,15417243.07,11325570.49,1404434.49,20597427.49,13377154.27,6718343.2,501930.02,conventional,2019,Total U.S.
1/19/20,0.93,48534972.05,13102979.33,10072454.62,949386.1,24408696.44,13606025.69,10056820.22,745850.53,conventional,2020,Total U.S.
1/13/19,0.97,48088440.48,15500568.59,13443606.86,741410.17,18402854.86,12137097.88,6130317.9,135439.08,conventional,2019,Total U.S.
2/9/20,0.96,47887559.28,13668923.46,9377990.27,768746.13,24071899.42,12455683.71,10778544.52,837671.19,conventional,2020,Total U.S.
4/12/20,1.2,47850537.28,15337307.32,8657849.24,527482.31,23327706.76,15385868.36,7030807.23,911031.17,conventional,2020,Total U.S.
7/8/18,1.03,47848189.79,14624443.74,14184132.58,1169255.61,17870357.86,12817172.9,4735852.45,317332.51,conventional,2018,Total U.S.
9/20/20,0.94,47745997.97,13176443,8352555.99,780047.42,25436828.23,16258771.48,8508786.25,669270.5,conventional,2020,Total U.S.
5/7/17,1.09,47293921.6,17076650.82,13549102.59,863471.88,15804696.31,11228049.63,4324231.19,252415.49,conventional,2017,Total U.S.
1/20/19,0.99,47145264.29,13843021.42,13453612.06,1328746.49,18519884.32,12840426.17,5419914.54,259543.61,conventional,2019,Total U.S.
5/27/18,1.03,47105314.28,15644843.58,13548819.31,793658.51,17117992.88,11620663.52,5229855.39,267473.97,conventional,2018,Total U.S.
4/15/18,1.03,47098677.68,15307339.31,13807126.47,894946.43,17089265.47,12283244.61,4522004.01,284016.85,conventional,2018,Total U.S.
3/24/19,0.99,47068805.2,14147438.33,13174261.26,1014092.8,18733012.81,11981189.57,6380776.16,371047.08,conventional,2019,Total U.S.
2/10/19,0.91,46702984.78,15056413.17,12025541.02,822702.28,18798328.31,12438637.18,6191152.14,168538.99,conventional,2019,Total U.S.
1/12/20,0.97,46524778.83,13223759.25,8444074.44,627869.92,24227623.24,13241643.55,10377040.43,608939.26,conventional,2020,Total U.S.
10/11/20,0.95,46520087.91,12937425.17,8425186.75,578075.01,24579400.98,15629760.35,8219557.25,730083.38,conventional,2020,Total U.S.
9/27/20,0.96,46413054.99,12606613.45,9042611.16,686912.19,24076918.19,14865025.88,8571499.1,640393.21,conventional,2020,Total U.S.
3/29/20,1.19,46381647.4,14113616.66,8477722.18,419458.24,23370633.92,14907229.13,7758313.73,705091.06,conventional,2020,Total U.S.
5/13/18,1,46371245.84,15432480.06,12367251.74,759855.73,17811658.31,13110016.21,4432536.78,269105.32,conventional,2018,Total U.S.
5/8/16,0.82,46324529.7,14223304.98,17896391.6,1993645.36,12211187.76,8747756.84,3342780.83,120650.09,conventional,2016,Total U.S.
1/6/20,0.97,46310705.72,13036248.61,10416874.46,845596.08,22010551.97,11649671.54,9670934.96,689945.47,conventional,2020,Total U.S.
3/10/19,0.98,46192002.93,14299259.38,12096366.87,996823.67,18799553.01,12490684.42,5873048.32,435820.27,conventional,2019,Total U.S.
10/4/20,0.96,46148476.45,12440281.13,8437295.32,522109.57,24748790.43,14994667.86,9079497.7,674624.87,conventional,2020,Total U.S.
4/14/19,1.05,45956798.68,13116578.64,12746906.95,1181613.53,18911699.56,12002214.73,6411537.42,497947.41,conventional,2019,Total U.S.
6/10/18,1.03,45613372.42,15949807.24,13691955.59,753786.21,15217823.38,11228599.99,3724800.5,264422.89,conventional,2018,Total U.S.
7/1/18,1.05,45572739.17,14978439.61,12542937.62,969238.95,17082122.99,11945298.31,4934540.62,202284.06,conventional,2018,Total U.S.
3/31/19,0.99,45361322.61,13981629.12,11271303.41,1101105.72,19007284.36,11327599.95,7451904.67,227779.74,conventional,2019,Total U.S.
11/8/20,0.9,45167049.45,12157573.48,7742657.34,663601.61,24603217.02,15522722.83,8355577.27,724916.92,conventional,2020,Total U.S.
11/1/20,0.92,45163178.34,11833945.29,7967111.41,689009.65,24673111.99,15077199.57,8700048.22,895864.2,conventional,2020,Total U.S.
10/25/20,0.91,45104348.68,12168145.33,8181873.87,858411.47,23895918.01,15094673.62,7926043.62,875200.77,conventional,2020,Total U.S.
2/23/20,1.01,45009239.58,12700928.54,7811581.19,685823.58,23810906.27,13227463.27,9952406.07,631036.93,conventional,2020,Total U.S.
1/7/19,1.02,44749707.48,14377053.08,11890232.9,893721.1,17588700.4,12829493.4,4617813.55,141393.45,conventional,2019,Total U.S.
6/24/18,1.04,44742749.88,14643774.28,12717017.35,1110724,16271234.25,11708299.17,4262204.76,300730.32,conventional,2018,Total U.S.
6/3/18,1.07,44705039.05,15241658.25,12611264.58,828737.97,16023378.25,11035193.03,4684090.46,304094.76,conventional,2018,Total U.S.
10/18/20,0.94,44682650.61,11872016.49,8134688.47,652677.02,24023268.63,15436913.52,7714795.98,871559.13,conventional,2020,Total U.S.
11/15/20,0.91,44676102.51,11459773.14,8207874.47,617624.63,24390830.27,15479745.42,8381613.28,529471.57,conventional,2020,Total U.S.
2/1/15,0.89,44655461.51,18933038.04,18956479.74,1381516.11,5384427.62,4216452.03,1121076.47,46899.12,conventional,2015,Total U.S.
5/20/18,1.02,44458798.3,15391298.2,12092088.69,736111.95,16239299.46,11427676.19,4549192.2,262431.07,conventional,2018,Total U.S.
3/3/19,1,44402424.87,14607958.6,11158680.97,972115.17,17663670.13,11608928.88,5702349.27,352391.98,conventional,2019,Total U.S.
4/22/18,1.04,44313979.3,14522577.86,12709402.97,722558.85,16359439.62,11850825.63,4207588.22,301025.77,conventional,2018,Total U.S.
3/8/20,1.13,44303012,13057777.35,7639123.04,370264.06,23235646.06,14122435.48,8492346.09,620864.49,conventional,2020,Total U.S.
6/17/18,1.09,44009084.78,14909830.72,12904472.84,782043.1,15412738.12,11486168.32,3707918.88,218650.92,conventional,2018,Total U.S.
1/26/20,1.01,43938472.7,12635230.46,7658265.98,611401.15,23032151.89,13202402.01,9280522.43,549227.45,conventional,2020,Total U.S.
4/29/18,1.07,43856758.99,14254036.95,13240108.54,744030.09,15618583.41,11122006.81,4208203.84,288372.76,conventional,2018,Total U.S.
2/24/19,0.98,43682565.76,13423017.47,12170264.41,1038105.23,17051178.65,11676381.46,5110694.9,264102.29,conventional,2019,Total U.S.
1/27/19,1.03,43574809.65,14531449.87,11053096.21,830802.01,17159461.56,11231765.56,5628141.16,299554.84,conventional,2019,Total U.S.
3/1/20,1.09,43500148.34,12625971.13,7765151.23,455851.22,22652392.02,12883794.01,9241498.09,527099.92,conventional,2020,Total U.S.
3/25/18,1.03,43409835.75,14130799.1,12125711.42,758801.12,16394524.11,12540327.19,3544729.39,309467.53,conventional,2018,Total U.S.
2/11/18,0.97,43167806.09,15870677.7,11541844.87,652856.58,15102426.94,10844852.22,4023485.04,234089.68,conventional,2018,Total U.S.
7/15/18,1.07,43126773.22,13457479.92,12125207.59,908599.1,16635486.61,11924570.43,4460656.29,250259.89,conventional,2018,Total U.S.
6/9/19,1.22,43111833.62,11656650.13,11308618.81,825153.4,19321411.28,10846855.02,7806415.69,668140.57,conventional,2019,Total U.S.
6/2/19,1.23,43111485.93,11420785.75,11004956.59,1002653.78,19683089.81,11094953.78,7743206.2,844929.83,conventional,2019,Total U.S.
5/12/19,1.24,43060975.95,13040337.96,11403251.69,890220.7,17726801.16,11266027.51,6092753.88,368019.77,conventional,2019,Total U.S.
4/8/18,1.04,42964067.68,13410251.75,13040703.22,737515.63,15775597.08,10948345.06,4555612.68,271639.34,conventional,2018,Total U.S.
1/21/18,1.08,42939821.55,14218843.83,13929702.12,928815.12,13862460.48,9866218.28,3789722.9,206519.3,conventional,2018,Total U.S.
5/1/16,0.84,42867608.54,13748944.38,15899858.37,1414364.49,11804441.3,8376124.32,3365582.11,62734.87,conventional,2016,Total U.S.
2/16/20,1.02,42730997.99,12495822.19,7867289.2,521606.52,21846280.08,11583695.32,9598983.4,663601.36,conventional,2020,Total U.S.
2/17/19,0.96,42664975.38,13572742.16,11372877.41,1306103.02,16413252.79,10553827.08,5603664.7,255761.01,conventional,2019,Total U.S.
1/22/17,0.94,42140393.39,14254150.46,14212881.66,908616.41,12764744.86,9462853.82,3231019.56,70871.48,conventional,2017,Total U.S.
7/22/18,1.1,41906916.84,12371332.55,12486290.58,1075361.84,15973931.87,10179551.8,5511074.54,283305.53,conventional,2018,Total U.S.
3/18/18,1.05,41386314.12,13707389.51,11061051.69,645380.85,15972492.07,11712807.19,3988101.74,271583.14,conventional,2018,Total U.S.
5/3/15,0.96,41291704.39,17787611.93,16602589.04,1118329.5,5783173.92,4647155.48,1110987.23,25031.21,conventional,2015,Total U.S.
11/22/20,0.89,41214193.33,11444048.13,7151354.88,618593.03,21977641.34,14390924.72,6937432.89,649283.73,conventional,2020,Total U.S.
4/1/18,1.1,41109688.72,13467728.25,10744041.46,732443.87,16165475.14,11826774.74,4055704.74,282995.66,conventional,2018,Total U.S.
2/12/17,0.87,41077470.65,15051951.54,12184188.37,862322.15,12979008.59,9922489.84,2919324.45,137194.3,conventional,2017,Total U.S.
8/12/18,1.12,40901950.01,12048457.63,12657830.87,881278.72,15314382.79,10707557.83,4270142.34,336682.62,conventional,2018,Total U.S.
3/4/18,1.07,40741214.05,14439547.46,11289307.37,571747.72,14440611.5,10832907.44,3339214.96,268489.1,conventional,2018,Total U.S.
8/19/18,1.13,40735732.68,12009246.19,11634725.16,1116318.45,15975442.88,11055173.29,4500204.69,420064.9,conventional,2018,Total U.S.
5/26/19,1.31,40514870.62,11623029.55,10706872.74,824382.07,17360586.26,10942409.29,6110523.23,307653.74,conventional,2019,Total U.S.
7/29/18,1.12,40512782.19,11801092.77,12818314.9,622037.56,15271336.96,10400081.31,4639008.8,232246.85,conventional,2018,Total U.S.
3/11/18,1.09,40449603.12,14089091.05,10758039.45,707578.82,14894893.8,11392828.89,3229556.62,272508.29,conventional,2018,Total U.S.
6/5/16,0.97,40231259.65,13808859.16,13396651.73,1770948.09,11254800.67,8492744.45,2441022.99,321033.23,conventional,2016,Total U.S.
1/28/18,1.09,40171640.84,14551799.5,12119884.61,575974.74,12923981.99,9749412.19,3041125.42,133444.38,conventional,2018,Total U.S.
9/1/19,1.23,40024359.99,10872365.99,9755443.58,760024.29,18636526.13,12555024.2,5394809.3,686692.63,conventional,2019,Total U.S.
2/25/18,1.06,40021528.76,13829857.87,10415463.59,724330.16,15051877.14,10666942.78,4081397.72,303536.64,conventional,2018,Total U.S.
5/29/16,0.94,40019075.24,13682611.21,13829591.06,1583495.93,10923377.04,8085657.41,2657598.78,180120.85,conventional,2016,Total U.S.
7/3/16,1.06,39993186.04,12508937.27,13315901.42,1761343.08,12407004.27,9967538.34,1887772.28,551693.65,conventional,2016,Total U.S.
5/15/16,0.89,39914996.74,12447598.49,14437190.03,1753852.61,11276355.61,7987028.55,3143280.05,146047.01,conventional,2016,Total U.S.
12/8/19,0.96,39683131.73,11347723.5,8495657.43,732026.79,19106744.01,10559420.53,7946439.04,600884.44,conventional,2019,Total U.S.
4/24/16,0.87,39607695.3,12913697.19,14382184.8,1599863.98,10711949.33,7835835.83,2801102.86,75010.64,conventional,2016,Total U.S.
10/6/19,1.12,39479783.01,9757038.8,9155130.57,833639.74,19733973.9,11293214.76,7958753.83,482005.31,conventional,2019,Total U.S.
8/5/18,1.15,39427666.54,12286513.46,11712660.59,715531.93,14712960.56,10184575.88,4256128.49,272256.19,conventional,2018,Total U.S.
10/28/18,1.01,39402226.58,12142265.3,10845124.43,549490.79,15865346.06,11437562.67,4320344.5,107438.89,conventional,2018,Total U.S.
12/29/19,0.92,39387849.97,11755125.67,7518140.74,695276.47,19419307.09,10764993.72,7997196.35,657117.02,conventional,2019,Total U.S.
1/29/17,0.96,39373579.25,14034075.77,11683464.54,818727.02,12837311.92,9918255.52,2799960.74,119095.66,conventional,2017,Total U.S.
7/9/17,1.17,39367336.18,13009944.14,11031218.25,821964.42,14504209.37,11112405.61,3018280.29,373523.47,conventional,2017,Total U.S.
8/25/19,1.23,39340251.15,11369008.45,8786180.59,834792.32,18350269.79,11207457.71,6397323.14,745488.94,conventional,2019,Total U.S.
6/16/19,1.32,39221437.21,10842298.19,10280896.51,816707.63,17281534.88,10407244.32,6314650.15,559640.41,conventional,2019,Total U.S.
10/27/19,1.04,39116432.88,10769296.72,8331285.17,617736.9,19398114.09,11075003.53,7790540.1,532570.46,conventional,2019,Total U.S.
9/29/19,1.15,39064517.23,10290944.4,9755174.81,562315.01,18456083.01,10561999.22,7553427.13,340656.66,conventional,2019,Total U.S.
11/10/19,1.01,39062078,10717154,8561348,714813,19068763,10984070,7410528,674164,conventional,2019,Total U.S.
11/11/18,1,39042283.34,13355863.68,10385141.1,603032.8,14698245.76,10721367.16,3865596.48,111282.12,conventional,2018,Total U.S.
4/21/19,1.27,39009980.45,11457331.14,9683822.37,1076012.1,16792814.84,10656049.33,5768550.56,368214.95,conventional,2019,Total U.S.
7/7/19,1.46,38883159.64,10153137.06,11262186.64,1019933.85,16447902.09,10234860.7,5496937.19,716104.2,conventional,2019,Total U.S.
1/1/17,0.89,38879716.85,12707894.99,14201200.68,549844.57,11420776.61,8551133.56,2802709.32,66933.73,conventional,2017,Total U.S.
9/15/19,1.21,38782069.87,10684605.45,8996308.28,539377.5,18561778.64,10979483.63,7166522.41,415772.6,conventional,2019,Total U.S.
10/13/19,1.11,38768168.4,10329901.22,9467625.66,710891.62,18259749.9,10580507.7,7098397.42,580844.78,conventional,2019,Total U.S.
9/8/19,1.23,38757175.41,11313320.49,8923953.39,809240.98,17710660.55,12047740,5059285.81,603634.74,conventional,2019,Total U.S.
6/23/19,1.34,38628187.43,10625892.82,9968046.33,764157.27,17270091.01,9808034.03,6785757.85,676299.13,conventional,2019,Total U.S.
6/19/16,1.02,38489936.14,13488851.61,12842698.33,1642735.63,10515650.57,8223280.88,1975350.75,317018.94,conventional,2016,Total U.S.
10/20/19,1.07,38477321.05,9670776.32,8752201.57,675093.3,19378276.53,10546392.39,8378355.78,453528.36,conventional,2019,Total U.S.
11/4/18,1.01,38363282.73,12420772.32,10192035.49,528277.9,15222197.02,10602848.85,4538743.36,80604.81,conventional,2018,Total U.S.
4/30/17,1.18,38315500.43,13316594.36,11291149.13,667996.83,13039760.11,9463810.58,3378923.98,197025.55,conventional,2017,Total U.S.
5/19/19,1.29,38309262.36,11718599.78,10111448.55,909583.84,15569630.19,10410831.77,4907117.36,251681.06,conventional,2019,Total U.S.
1/15/17,0.98,38295488.31,12936858.36,12625665.39,579346.52,12153618.04,9445622.04,2638918.48,69077.52,conventional,2017,Total U.S.
12/31/17,0.98,38267341.61,13109617.49,13197460.59,644837.54,11315425.99,8092355.2,3098373.91,124696.88,conventional,2017,Total U.S.
1/1/18,0.98,38267341.61,13109617.49,13197460.59,644837.54,11315425.99,8092355.2,3098373.91,124696.88,conventional,2018,Total U.S.
6/18/17,1.18,38247669.33,12975373.48,11199448.6,807107.21,13265740.04,9650858.66,3267491.24,347390.14,conventional,2017,Total U.S.
1/3/16,0.86,38142088.04,11616506.17,16054083.86,1560068.62,8911429.39,6464895.83,2287449.76,159083.8,conventional,2016,Total U.S.
10/7/18,1.08,38061759.66,11931876.96,10220788.39,794611.3,15114483.01,11085671.5,3792435.33,236376.18,conventional,2018,Total U.S.
1/8/17,0.99,38049802.62,11809727.7,13856934.7,539068.39,11844071.83,9332971.74,2432259.13,78840.96,conventional,2017,Total U.S.
6/30/19,1.37,38035401.59,9799556.99,10371743.85,857120.3,17006980.45,10061618.06,6340092.86,605269.53,conventional,2019,Total U.S.
7/2/17,1.21,38010426.16,12623188.5,10988734.57,859889.81,13538613.28,10041243.95,3119708.27,377661.06,conventional,2017,Total U.S.
7/5/15,1.04,37943670.34,15643939.37,14213650.06,1342465.95,6743614.96,5803954.33,905204.55,34456.08,conventional,2015,Total U.S.
11/17/19,1.02,37883934,10859987,7674135,586287,18763525,10882824,7272877,607824,conventional,2019,Total U.S.
9/30/18,1.1,37588534.16,11693993.09,10028231.18,659678.66,15206631.23,11080362.15,3869002.42,257266.66,conventional,2018,Total U.S.
9/9/18,1.24,37484253.75,11028194.47,11898526.09,859246.52,13698286.67,9876854.43,3505978.13,315454.11,conventional,2018,Total U.S.
4/17/16,0.9,37467885.19,11954487.56,12896366.58,1896149.5,10720881.55,8128710.21,2467001.94,125169.4,conventional,2016,Total U.S.
8/18/19,1.32,37425679.57,10284041.84,9054931.95,780501.94,17306203.84,10721992.72,5880316.72,703894.4,conventional,2019,Total U.S.
8/11/19,1.34,37406700.1,9588930.54,9165179.06,907351.65,17745238.85,11187291.77,5806802.98,751144.1,conventional,2019,Total U.S.
6/4/17,1.24,37352360.59,13248334.78,10157565.24,667066.51,13279394.06,10103007.01,2946264.52,230122.53,conventional,2017,Total U.S.
11/3/19,1.04,37329536.19,10376832.82,7835071.72,598957.72,18518673.93,10710796.01,7268951.62,538926.3,conventional,2019,Total U.S.
6/25/17,1.17,37305307.68,12901031.63,10805961.74,655965.98,12942348.33,9462413.18,3202253.91,277681.24,conventional,2017,Total U.S.
1/14/18,1.2,37299945.22,12600918.24,11866197.84,652808.4,12180020.74,8128241.88,3917569.95,134208.91,conventional,2018,Total U.S.
9/22/19,1.2,37132649.17,10297739.55,8794973.38,561900.63,17478035.61,9839007.16,7246420.68,392607.77,conventional,2019,Total U.S.
9/4/16,1.04,37130688.91,14643465.52,11083513.46,540680.89,10863029.04,8555283.68,2214419.29,93326.07,conventional,2016,Total U.S.
6/11/17,1.21,37039853.8,13490545.5,10090861.46,648410.9,12810035.94,9373421.78,3128713.2,307900.96,conventional,2017,Total U.S.
5/28/17,1.28,37030893.73,12841952.21,10932970.72,673384.78,12582586.02,9312239.39,3013459.42,256887.21,conventional,2017,Total U.S.
6/14/15,0.98,37026085.75,16383685.07,12821015.03,1085081.61,6736304.04,5893641.72,822399.78,20262.54,conventional,2015,Total U.S.
2/26/17,0.99,37007797.69,13173668.36,11398142.68,896761.77,11539224.88,8945888.88,2405733.76,187602.24,conventional,2017,Total U.S.
5/22/16,0.93,36958035.51,11711999.81,12981224.42,1640829.4,10623981.88,7835766.14,2563223.75,224991.99,conventional,2016,Total U.S.
10/14/18,1.08,36869560.39,11397965.02,10293294.29,599007.52,14579293.56,10460714.07,3928694.16,189885.33,conventional,2018,Total U.S.
8/26/18,1.22,36867974.58,11171123.21,11286479.97,699010.18,13711361.22,9484135.03,3930111.9,297114.29,conventional,2018,Total U.S.
2/28/16,0.91,36801817.68,11907394.72,13210854.56,1560167.75,10123400.65,7251666.99,2802238.74,69494.92,conventional,2016,Total U.S.
2/18/18,1.08,36709887.49,13262751.42,10491918.44,552969.73,12402247.9,9023351.68,3151157.42,227738.8,conventional,2018,Total U.S.
1/7/18,1.13,36703156.72,13730992.75,10781339.21,677714.86,11513109.9,8231766.23,3130919.1,150424.57,conventional,2018,Total U.S.
5/14/17,1.19,36634269.03,12807836.17,9717257.8,652973.26,13456201.8,10373347.62,2859413.59,223440.59,conventional,2017,Total U.S.
6/26/16,1.04,36617023.79,12189035.17,12029918.6,1624942.43,10773127.59,8834969.52,1609568.98,328589.09,conventional,2016,Total U.S.
4/10/16,0.9,36584029.39,12879820.47,11538132.36,1666275.13,10499801.43,7808770.98,2613293.43,77737.02,conventional,2016,Total U.S.
6/7/15,1,36549995.66,16529797.6,12582265.21,1144715.95,6293216.9,5304562.91,943995.95,44658.04,conventional,2015,Total U.S.
2/14/16,0.88,36476441.86,11913078.3,13187973.29,1811090.71,9564299.56,7102422.27,2387455.67,74421.62,conventional,2016,Total U.S.
5/10/15,1.02,36400886.58,16215328.75,13509064.65,858145.45,5818347.73,4991625.82,816629.4,10092.51,conventional,2015,Total U.S.
3/13/16,0.93,36374516.14,11661687.44,13104887.66,1800065.57,9807875.47,7231162.6,2521123.87,55589,conventional,2016,Total U.S.
3/20/16,0.93,36335483.78,11134390.98,13727453.57,1773088.87,9700550.36,7248857.68,2374053.89,77638.79,conventional,2016,Total U.S.
11/29/20,0.89,36303871.76,10341275.25,6001923.1,530410.9,19371480.05,12667978.2,6230121.49,473380.36,conventional,2020,Total U.S.
9/2/18,1.29,36169161.57,10916802.88,10880826.3,777527.98,13594004.41,9783860.21,3485418.35,324725.85,conventional,2018,Total U.S.
3/27/16,0.94,35930195.92,11249198.4,12745266.73,1880231.38,10055499.41,7745105.36,2228007.91,82386.14,conventional,2016,Total U.S.
8/4/19,1.41,35751881.43,10031521.98,8853237.48,789420.88,16077701.09,10217006.54,5217065.62,643628.93,conventional,2019,Total U.S.
6/21/15,1.02,35734613.9,14699604.93,13244466.6,1326422.56,6464119.81,5517909.51,898027.46,48182.84,conventional,2015,Total U.S.
4/23/17,1.18,35729013.92,12236713.41,10224484.11,613507.38,12654309.02,9051466.83,3434846.78,167995.41,conventional,2017,Total U.S.
12/10/17,1.03,35634913.01,11943914.54,11659897.51,398348.55,11632752.41,8404955.25,3122650.26,105146.9,conventional,2017,Total U.S.
9/16/18,1.22,35609955.39,11598586.86,9716277.38,743851.12,13551240.03,9562607.7,3684646.74,303985.59,conventional,2018,Total U.S.
6/12/16,1.04,35580820,12291686.69,11533969.83,1607344.08,10147819.4,8039865.67,1796513.74,311439.99,conventional,2016,Total U.S.
7/10/16,1.1,35567568.43,11457080.38,11677528,1266433.97,11166526.08,8984513.63,1727668.8,454343.65,conventional,2016,Total U.S.
5/24/15,1.04,35344183.15,16000107.8,12513821.19,899779.92,5930474.24,5094263.38,815628.55,20582.31,conventional,2015,Total U.S.
1/10/16,0.93,35264336.01,11441286.89,13226088.66,1282612.91,9314347.55,6735384.32,2528089.14,50874.09,conventional,2016,Total U.S.
4/28/19,1.37,35223603.67,11547044.33,9044580,908429.44,13723549.9,8751301.61,4661547.01,310701.28,conventional,2019,Total U.S.
4/16/17,1.23,35182320.78,12311055.17,10069354.29,650017.26,12151894.06,9399104.79,2544942.74,207846.53,conventional,2017,Total U.S.
12/15/19,1.02,35174364.71,9939946.69,7293252.47,544368.08,17396797.47,9907452.98,6998810.58,490533.91,conventional,2019,Total U.S.
3/6/16,0.95,35064506.04,11824154.63,12196587.24,1686475.33,9357288.84,7502570.03,1747903.69,106815.12,conventional,2016,Total U.S.
7/14/19,1.47,34945476.94,9173282.84,9679713.58,754279.34,15338201.18,9764518.02,4958010.74,615672.42,conventional,2019,Total U.S.
9/23/18,1.19,34866282.28,10635595.44,10368078.03,644554.31,13218054.5,9638333.84,3294142.37,285578.29,conventional,2018,Total U.S.
4/9/17,1.21,34785712.55,12091315.22,10821096.24,647969.03,11225332.06,8946792.83,2098142.94,180396.29,conventional,2017,Total U.S.
7/28/19,1.47,34727442.98,9360275.5,8978733.7,948645.42,15439788.36,9477042.5,5252512.64,710233.22,conventional,2019,Total U.S.
1/31/16,0.93,34721249.92,11098088.49,13278053.61,1643703.17,8701404.65,6684515.27,1823889.58,192999.8,conventional,2016,Total U.S.
11/24/19,1.06,34631238,9568975,7488155,647375,16926733,9572128,6756021,598584,conventional,2019,Total U.S.
4/2/17,1.21,34468017.36,12245520.55,9733584.68,624709.69,11864202.44,9385516.28,2330300.27,148385.89,conventional,2017,Total U.S.
