date,average_price,total_volume,4046,4225,4770,total_bags,small_bags,large_bags,xlarge_bags,type,year,region
1/11/15,1.69,58061.65,4362.25,44552.46,0,9146.94,7266.75,1880.19,0,organic,2015,Great Lakes
1/11/15,1.17,2335986.11,560119.16,1032606.49,191515.19,551745.27,465764.93,85966.27,14.07,conventional,2015,Midsouth
1/11/15,1.52,65483.08,14570.74,30445.75,3170.11,17296.48,16715.45,581.03,0,organic,2015,Midsouth
1/11/15,1.28,3056024.77,97343.55,2070661.43,6915.47,881104.32,796190.93,84913.39,0,conventional,2015,Northeast
1/11/15,1.86,50079.81,3611.57,20043.89,65.93,26358.42,26332.17,26.25,0,organic,2015,Northeast
1/11/15,1.09,1402841.83,737363.86,448207.79,10009.45,207260.73,205299.64,954.59,1006.5,conventional,2015,Plains
1/11/15,1.68,37617.95,6636.08,15284.43,4.62,15692.82,13774.1,1918.72,0,organic,2015,Plains
1/11/15,0.8,5409726.02,2973367.52,1717171.24,88373.78,630813.48,533599.2,97164.07,50.21,conventional,2015,South Central
1/11/15,1.39,53328.53,27767.97,8596.61,0,16963.95,16873.34,90.61,0,organic,2015,South Central
1/11/15,1.18,2433295.61,1667012.92,269027.02,21918.53,475337.14,260164,215173.14,0,conventional,2015,Southeast
1/11/15,1.83,23690.65,10166.46,4678.19,524.42,8321.58,8164.48,157.1,0,organic,2015,Southeast
1/11/15,0.95,5333097.71,2203111.92,2292761.26,127412.09,709812.44,598705.08,111073.82,33.54,conventional,2015,West
1/11/15,1.39,223156.55,80139.16,111395.01,63.88,31558.5,9296.76,22261.74,0,organic,2015,West
1/18/15,1.02,5570915.26,2780859.66,2108450.36,121614.31,559990.93,520299.26,36501.18,3190.49,conventional,2015,California
1/18/15,1.24,195207.6,123138.29,58616.16,0,13453.15,13453.15,0,0,organic,2015,California
1/18/15,1.08,3006207.02,401683.43,1650327.26,257105.89,697090.44,600155.95,93434.54,3499.95,conventional,2015,Great Lakes
1/18/15,1.73,57646.9,3941.59,43653.15,0,10052.16,6511.7,3540.46,0,organic,2015,Great Lakes
1/18/15,1.19,2330829.2,530333.83,1045424.87,186027.52,569042.98,478770.7,90214.44,57.84,conventional,2015,Midsouth
1/18/15,1.65,52559.1,11415.28,25306.56,3345.08,12492.18,10971.43,1520.75,0,organic,2015,Midsouth
1/18/15,1.32,3066789.62,91803.09,2098784.32,7215.59,868986.62,784229.51,84757.11,0,conventional,2015,Northeast
1/18/15,1.94,35304.15,1461.14,13317.36,73.5,20452.15,18457.1,1995.05,0,organic,2015,Northeast
1/18/15,1.02,1674945.55,966515.75,485150.34,14504.7,208774.76,206579.02,1074.3,1121.44,conventional,2015,Plains
1/18/15,1.8,29669.53,6340.18,13476.2,34.56,9818.59,8577.16,1241.43,0,organic,2015,Plains
1/18/15,0.79,5322625.57,2839359.92,1782045.18,146481.44,554739.03,497106.16,57607.18,25.69,conventional,2015,South Central
1/18/15,1.27,65242.77,32913.28,6344.03,0,25985.46,25780,205.46,0,organic,2015,South Central
1/18/15,1.19,2595783.66,1815847.03,273695.84,22004.31,484236.48,258541.9,225694.58,0,conventional,2015,Southeast
1/18/15,1.79,25740,10781.05,3489.26,498.66,10971.03,10657.51,313.52,0,organic,2015,Southeast
1/18/15,0.96,5475363.01,2431736.63,2258069.63,76348.13,709208.62,527358.78,181809.88,39.96,conventional,2015,West
1/18/15,1.33,251749.94,64328.76,147608.3,69.05,39743.83,7442.17,32301.66,0,organic,2015,West
1/25/15,1.06,4929884.26,2380955.61,1827783.28,150535.5,570609.87,521004.15,46809.48,2796.24,conventional,2015,California
1/25/15,1.3,121698.02,80952.24,28216.13,0,12529.65,12529.65,0,0,organic,2015,California
1/25/15,1.13,2928692.32,390289.67,1649082.75,271642.56,617677.34,503612.64,109501,4563.7,conventional,2015,Great Lakes
1/25/15,1.63,59906.52,3609.5,45327.3,0,10969.72,6137.81,4831.91,0,organic,2015,Great Lakes
1/25/15,1.15,2480820.72,566435.98,1077630.8,164873.48,671880.46,572717.4,99142.71,20.35,conventional,2015,Midsouth
1/25/15,1.63,54932.83,11160.54,26029.58,3297.83,14444.88,11428.78,3016.1,0,organic,2015,Midsouth
1/25/15,1.27,3238501.89,96761.81,2129188.49,7923.65,1004627.94,903840.54,100787.4,0,conventional,2015,Northeast
1/25/15,1.92,40358.44,2519.17,17147.02,73.05,20619.2,20455.66,163.54,0,organic,2015,Northeast
1/25/15,1.08,1510836.96,841332.54,454162.3,14022.68,201319.44,198193.38,1929.49,1196.57,conventional,2015,Plains
1/25/15,1.8,30207.8,3732.84,14987.92,20.69,11466.35,10403.58,1062.77,0,organic,2015,Plains
1/25/15,0.81,5142259.93,3205533.39,1298842.9,68870.69,569012.95,476249.64,92763.31,0,conventional,2015,South Central
1/25/15,1.37,58961.59,34211.11,8792.21,0,15958.27,15613.33,344.94,0,organic,2015,South Central
1/25/15,1.15,2778000.82,1990978.47,266024.34,18600.92,502397.09,281141.42,221255.67,0,conventional,2015,Southeast
1/25/15,1.81,23809.3,9855.11,3187.02,612.99,10154.18,9640,514.18,0,organic,2015,Southeast
1/25/15,0.94,5461313.9,2695157.56,2031937.97,71550.57,662667.8,521877.7,140735.66,54.44,conventional,2015,West
1/25/15,1.52,166494.38,61454.35,68624.86,749.3,35665.87,9756.03,25909.84,0,organic,2015,West
2/1/15,0.85,9032180.67,4794142.14,3460743.8,177145.49,600149.24,556205.2,41203.2,2740.84,conventional,2015,California
2/1/15,1.11,196031.9,142332.45,41999.51,2.92,11697.02,11697.02,0,0,organic,2015,California
2/1/15,0.91,4874124.41,768874.35,2948564.71,510153.65,646531.7,479453.25,126925.79,40152.66,conventional,2015,Great Lakes
2/1/15,1.53,63248.58,4062.76,46378.83,0,12806.99,8615.6,4191.39,0,organic,2015,Great Lakes
2/1/15,0.99,3668037.65,888523.17,1798504.77,388259.15,592750.56,464442.27,125798.21,2510.08,conventional,2015,Midsouth
2/1/15,1.44,72159.84,17276.51,30751.68,4813.6,19318.05,17413.54,1904.51,0,organic,2015,Midsouth
2/1/15,1.23,4298883.17,133613,3149375.34,9191.41,1006703.42,896750.09,109953.33,0,conventional,2015,Northeast
2/1/15,1.78,63537.1,3278.92,23694.61,13.97,36549.6,36537.93,11.67,0,organic,2015,Northeast
2/1/15,0.92,2561325.42,1383259.28,926444.37,13768.85,237852.92,235274.47,1245.73,1332.72,conventional,2015,Plains
2/1/15,1.67,30193.16,3904.24,14499.51,32.15,11757.26,9989.22,1768.04,0,organic,2015,Plains
2/1/15,0.71,6934356.31,3776936.71,2348980.01,161845.27,646594.32,519847.64,126683.42,63.26,conventional,2015,South Central
2/1/15,1.28,64156.46,33408.72,10410.41,0,20337.33,19943.33,394,0,organic,2015,South Central
2/1/15,0.93,4924049.79,3656338.95,451194.73,40258.76,776257.35,359145.48,417111.87,0,conventional,2015,Southeast
2/1/15,1.6,35085.7,8698.27,9368.82,804.65,16213.96,14673.34,1540.62,0,organic,2015,Southeast
2/1/15,0.84,8362504.08,3531350.44,3872672,80893.53,877588.11,705333.64,172154.91,99.56,conventional,2015,West
2/1/15,1.34,216484.22,89599.59,82183.07,184.99,44516.57,11083.16,33433.41,0,organic,2015,West
2/8/15,0.91,5871224.58,2908845.38,2200393.89,149458.93,612526.38,553682.71,56311.08,2532.59,conventional,2015,California
2/8/15,1.35,132790.41,94440.9,24587.9,0,13761.61,13761.61,0,0,organic,2015,California
2/8/15,1.07,2856456.35,515789.01,1541252.99,238780.53,560633.82,472576.07,78544.87,9512.88,conventional,2015,Great Lakes
2/8/15,1.64,58545.6,3711.76,35512.66,0,19321.18,17758.89,1562.29,0,organic,2015,Great Lakes
2/8/15,1.06,2734006.98,732854.05,1222159.62,159491.59,619501.72,543231.71,75649.4,620.61,conventional,2015,Midsouth
2/8/15,1.58,64774.28,7824.43,26491.71,4388.15,26069.99,23654.98,2415.01,0,organic,2015,Midsouth
2/8/15,1.09,4457049.41,128978.49,3354876.63,7219.81,965974.48,869917.39,96055.45,1.64,conventional,2015,Northeast
2/8/15,1.85,65898.99,2547.81,19979.96,38.35,43332.87,43044.39,288.48,0,organic,2015,Northeast
2/8/15,0.98,1794543.77,1077511.79,490403.56,12488.08,214140.34,212347.25,690.66,1102.43,conventional,2015,Plains
2/8/15,1.54,46329.16,3906.27,26987.91,32.13,15402.85,14104.27,1298.58,0,organic,2015,Plains
2/8/15,0.73,5900232.15,3323430.66,1927404.12,75885.05,573512.32,518539.89,54886.55,85.88,conventional,2015,South Central
2/8/15,1.39,65372.85,28170.54,6886.82,0,30315.49,29646.67,668.82,0,organic,2015,South Central
2/8/15,1.11,2573973.63,1871661.73,226039.73,18310.04,457962.13,272767.32,185194.81,0,conventional,2015,Southeast
2/8/15,1.51,50546.78,10197.75,16658.11,792.54,22898.38,20283.33,2615.05,0,organic,2015,Southeast
2/8/15,0.89,5949846.14,2749122.29,2418817,76305.42,705601.43,579412.5,126120.73,68.2,conventional,2015,West
2/8/15,1.4,246616.27,64858.54,116792.77,65.38,64899.58,17633.33,47266.25,0,organic,2015,West
2/15/15,0.96,5699944.93,3315163.6,1620462.13,169907.54,594411.66,544990.68,47017.93,2403.05,conventional,2015,California
2/15/15,1.52,116499.36,85444.97,21689.75,0,9364.64,9364.64,0,0,organic,2015,California
2/15/15,1.15,2610004.41,390973.21,1331420.43,237030.33,650580.44,561485.4,81172.24,7922.8,conventional,2015,Great Lakes
2/15/15,1.65,58236.29,3633.54,40867.13,0,13735.62,11050,2685.62,0,organic,2015,Great Lakes
2/15/15,1.17,2420829.45,634266.43,982380.32,206499.63,597683.07,515932.56,81139.48,611.03,conventional,2015,Midsouth
2/15/15,1.48,67813.61,7426.1,34306.93,4067.67,22012.91,18624.73,3388.18,0,organic,2015,Midsouth
2/15/15,1.29,2983695.9,88056.2,1958075.38,7773.07,929791.25,864046.29,65744.96,0,conventional,2015,Northeast
2/15/15,1.84,57627.38,3633.89,21385.14,78.86,32529.49,32381.03,148.46,0,organic,2015,Northeast
2/15/15,1.05,1507821.92,847328.77,409541.36,17649.52,233302.27,231591.27,844.44,866.56,conventional,2015,Plains
2/15/15,1.68,39967.69,4337.72,19892.57,32.1,15705.3,14480.47,1224.83,0,organic,2015,Plains
2/15/15,0.8,5204971.91,3046997.7,1421557.06,93961.98,642455.17,540023.82,102417.63,13.72,conventional,2015,South Central
2/15/15,1.39,77922.66,32655.36,7467.65,0,37799.65,37376.67,422.98,0,organic,2015,South Central
2/15/15,1.16,2558563.78,1820564.15,219336.78,21706.04,496956.81,295183.36,201773.45,0,conventional,2015,Southeast
2/15/15,1.64,31775.03,9542.72,10814.64,666.44,10751.23,10040,711.23,0,organic,2015,Southeast
2/15/15,0.98,5026688.71,2483265.25,1840716.14,91125.41,611581.91,542973.12,68521.88,86.91,conventional,2015,West
2/15/15,1.58,166334.97,60976.33,72229.53,104.93,33024.18,7284.44,25739.74,0,organic,2015,West
2/22/15,0.96,5951871.32,3210177.22,1933699.49,172675.88,635318.73,596184.9,36940.51,2193.32,conventional,2015,California
2/22/15,1.41,136421.88,102232.31,25715.73,0,8473.84,8470.51,3.33,0,organic,2015,California
2/22/15,1.16,2730224.03,391400.93,1482033.31,246541.13,610248.66,512270.39,88536.91,9441.36,conventional,2015,Great Lakes
2/22/15,1.68,56569.37,3756.4,41242.41,0,11570.56,8327.94,3242.62,0,organic,2015,Great Lakes
2/22/15,1.1,2720346.71,632670.12,1209150.04,295228.18,583298.37,535973.53,46783.55,541.29,conventional,2015,Midsouth
2/22/15,1.4,75957.01,15459.67,35943.26,4053.24,20500.84,18497.02,2003.82,0,organic,2015,Midsouth
2/22/15,1.29,3042447.03,92283.05,2003076.22,7049.52,940038.24,860636.05,79402.19,0,conventional,2015,Northeast
2/22/15,1.9,56898.92,5183.02,17737.13,65.89,33912.88,33581.42,331.46,0,organic,2015,Northeast
2/22/15,1.08,1547969.24,818736.11,430679.66,20287.44,278266.03,276280.33,860.21,1125.49,conventional,2015,Plains
2/22/15,1.66,40390.21,5100.04,17771.09,9.16,17509.92,16731.6,778.32,0,organic,2015,Plains
2/22/15,0.85,5208272.73,3077730.66,1408136.41,81708.29,640697.37,529675.01,111022.36,0,conventional,2015,South Central
2/22/15,1.37,81291.05,43057.55,6627.71,0,31605.79,31043.33,562.46,0,organic,2015,South Central
2/22/15,1.11,2796195.76,1960713.06,236520.37,34466.49,564495.84,437763.9,126731.94,0,conventional,2015,Southeast
2/22/15,1.59,37584.04,10316.9,15076.29,586.36,11604.49,9686.67,1917.82,0,organic,2015,Southeast
2/22/15,0.95,5939402.98,2444851.21,2650986.14,79181.93,764383.7,587462.99,176871.66,49.05,conventional,2015,West
2/22/15,1.48,188334.19,87488.99,70229.26,168.9,30447.04,6976.12,23470.92,0,organic,2015,West
3/1/15,0.84,6700134.25,3516551.29,2460932.41,170580.54,552070.01,515386.4,34845.51,1838.1,conventional,2015,California
3/1/15,1.15,250298.58,178033.64,59786.79,0,12478.15,12478.15,0,0,organic,2015,California
3/1/15,1.02,3566752.43,353818.94,2135517.89,478701.64,598713.96,462539.26,88541.92,47632.78,conventional,2015,Great Lakes
3/1/15,1.69,61260.09,3154.34,43284.57,0,14821.18,13128.9,1692.28,0,organic,2015,Great Lakes
3/1/15,1.14,2538981.6,620672.44,1151353.87,182873.34,584081.95,543841.07,37011.94,3228.94,conventional,2015,Midsouth
3/1/15,1.61,62339.44,9303.87,29547.34,4471.19,19017.04,16977.16,2039.88,0,organic,2015,Midsouth
3/1/15,1.15,3780455.44,88609.28,2790180.2,7317.59,894348.37,810060.6,84287.77,0,conventional,2015,Northeast
3/1/15,1.85,56799.83,5884.52,17398.87,26.54,33489.9,33457.94,31.96,0,organic,2015,Northeast
3/1/15,1.09,1619341.49,854129.32,460986.95,11417.67,292807.55,291293.85,540.74,972.96,conventional,2015,Plains
3/1/15,1.7,36993.47,5052.36,17469.75,18.33,14453.03,13506.71,946.32,0,organic,2015,Plains
3/1/15,0.87,5314431.93,2944928.22,1629785.85,90167.62,649550.24,518799.05,130726.85,24.34,conventional,2015,South Central
3/1/15,1.34,80536.06,40561.64,5847.24,0,34127.18,34003.33,123.85,0,organic,2015,South Central
3/1/15,1.01,3633174.13,2682065.6,281502.89,19429.67,650175.97,396512.64,253660.35,2.98,conventional,2015,Southeast
3/1/15,1.46,47299.44,9547.92,20649.03,728.08,16374.41,12383.33,3991.08,0,organic,2015,Southeast
3/1/15,0.95,5840742.83,2221447.89,2822864.41,110088.02,686342.51,590705.71,95603.25,33.55,conventional,2015,West
3/1/15,1.4,218957.86,110458.55,81474.98,311.88,26712.45,12552.61,14159.84,0,organic,2015,West
3/8/15,0.96,5990243.89,3484274.6,1649936.05,184720.58,671312.66,642307,27241.05,1764.61,conventional,2015,California
3/8/15,1.48,108346.9,75016.11,21619.82,0,11710.97,11710.97,0,0,organic,2015,California
3/8/15,1.04,3134752.64,380674.2,1675102.29,253978.78,824997.37,697812.88,114519.6,12664.89,conventional,2015,Great Lakes
3/8/15,1.6,74152.81,3590.18,46265.47,10.54,24286.62,20700.55,3586.07,0,organic,2015,Great Lakes
3/8/15,1.21,2297509.11,545690.6,949015.34,179824.24,622978.93,588931.15,33275.04,772.74,conventional,2015,Midsouth
3/8/15,1.62,73251.74,8451.96,27277.29,4616.93,32905.56,31682.71,1222.85,0,organic,2015,Midsouth
3/8/15,1.27,3250832.53,113602.19,2111936.1,7864.97,1017429.27,909308.32,108119.32,1.63,conventional,2015,Northeast
3/8/15,1.79,60655.7,3991.62,17082.17,38.58,39543.33,39361.95,181.38,0,organic,2015,Northeast
3/8/15,1.11,1531085.64,838161.13,412581.04,9283.84,271059.63,269498.52,734.29,826.82,conventional,2015,Plains
3/8/15,1.68,33434.23,3482.6,12593.96,13.73,17343.94,15943.23,1400.71,0,organic,2015,Plains
3/8/15,0.8,5864999.81,3215935.34,1855972.27,79560,713532.2,537992.32,175511.51,28.37,conventional,2015,South Central
3/8/15,1.44,56752.92,28363.69,5523.96,0,22865.27,22753.34,111.93,0,organic,2015,South Central
3/8/15,1.18,2642581.73,1894002.38,199317.95,20683.77,528577.63,413603.79,114973.84,0,conventional,2015,Southeast
3/8/15,1.47,46965.06,10517.69,19351.28,802.4,16293.69,12209.65,4084.04,0,organic,2015,Southeast
3/8/15,0.99,5382693.51,2541409.9,2120111.56,98092.96,623079.09,524272.88,98774.76,31.45,conventional,2015,West
3/8/15,1.37,330353.76,119664.32,178258.33,176.53,32254.58,14940.27,17314.31,0,organic,2015,West
3/15/15,1.06,5557163.11,2962520.41,1737353.95,194761.49,662527.26,632903.55,27625.15,1998.56,conventional,2015,California
3/15/15,1.52,94419.17,65441.32,21855.14,0,7122.71,7122.71,0,0,organic,2015,California
3/15/15,1.1,2948199.23,475449.58,1626922.95,223788.7,622038,498932.31,114147.11,8958.58,conventional,2015,Great Lakes
3/15/15,1.55,65534.87,3884.91,47489.47,0,14160.49,8669.15,5491.34,0,organic,2015,Great Lakes
3/15/15,1.19,2462108.11,570576.91,1066470.63,210234.78,614825.79,578103.5,34641.93,2080.36,conventional,2015,Midsouth
3/15/15,1.65,58939.14,8401.12,28424.2,4385.54,17728.28,16137.24,1591.04,0,organic,2015,Midsouth
3/15/15,1.34,3135991.73,111777.91,2082038.09,5531.34,936644.39,843930.39,92714,0,conventional,2015,Northeast
3/15/15,1.83,43012.32,2925,16559.95,26.02,23501.35,23398.38,102.97,0,organic,2015,Northeast
3/15/15,1.1,1590080.35,839457.23,435373.81,10344.37,304904.94,300231.39,3729.66,943.89,conventional,2015,Plains
3/15/15,1.67,36469.37,4427.92,14399.17,22.87,17619.41,15944.5,1674.91,0,organic,2015,Plains
3/15/15,0.79,5703759.21,3290881.46,1644220.11,115290.48,653367.16,522678.26,130674.88,14.02,conventional,2015,South Central
3/15/15,1.38,66049.13,38409.71,6529.22,0,21110.2,20733.33,376.87,0,organic,2015,South Central
3/15/15,1.21,2602341.55,1865220.72,211822.87,25792.72,499505.24,375572.97,123875.82,56.45,conventional,2015,Southeast
3/15/15,1.48,44030.34,11716.79,17032.1,804.88,14476.57,9653.34,4823.23,0,organic,2015,Southeast
3/15/15,0.94,5572582.45,3034104.48,1829868.35,85831.16,622778.46,535269.21,87496.38,12.87,conventional,2015,West
3/15/15,1.41,236130.36,100362.24,106186.35,69.48,29512.29,7666.67,21845.62,0,organic,2015,West
3/22/15,1.06,5571812.77,2348618.25,2314393.94,195791.46,713009.12,681403.86,30058.97,1546.29,conventional,2015,California
3/22/15,1.3,112284.57,64969.37,40012.49,0,7302.71,7302.71,0,0,organic,2015,California
3/22/15,1.04,3746598.18,543151.72,2146436.5,451798.84,605211.12,453829.96,105804.36,45576.8,conventional,2015,Great Lakes
3/22/15,1.63,56818.47,3057.74,51274.78,0,2485.95,1992.35,493.6,0,organic,2015,Great Lakes
3/22/15,1.11,2779012.66,681261.26,1282053.45,197573.91,618124.04,560370.06,53740.87,4013.11,conventional,2015,Midsouth
3/22/15,1.53,57978.41,13957.53,29037.44,4426.59,10556.85,7426.95,3129.9,0,organic,2015,Midsouth
3/22/15,1.22,3520408.65,118765,2526519.62,5436.84,869687.19,782209.83,87477.36,0,conventional,2015,Northeast
3/22/15,1.92,44128.54,4956.8,20884.49,28.16,18259.09,18247.64,11.45,0,organic,2015,Northeast
3/22/15,1.09,1651115.09,885071.63,450192.76,11548.82,304301.88,293708.39,9411.9,1181.59,conventional,2015,Plains
3/22/15,1.8,34244.34,3811.27,19130.46,22.89,11279.72,10549.2,730.52,0,organic,2015,Plains
3/22/15,0.76,6008817.9,3785376.16,1476714.1,81039.5,665688.14,540561.2,125103.19,23.75,conventional,2015,South Central
3/22/15,1.37,71375.61,39985.64,7287.16,0,24102.81,23953.34,149.47,0,organic,2015,South Central
3/22/15,0.98,3867453.83,2823708.05,299770.04,21570.5,722405.24,447949.27,274435.21,20.76,conventional,2015,Southeast
3/22/15,1.73,33825.57,12359.73,9572.05,746.1,11147.69,10338.9,808.79,0,organic,2015,Southeast
3/22/15,0.99,5368331.44,2511453.54,2163704.41,101626.05,591547.44,515038.9,76495.68,12.86,conventional,2015,West
3/22/15,1.43,271984.49,94041.38,143154.95,66.85,34721.31,3743.72,30977.59,0,organic,2015,West
3/29/15,1.1,5341821.67,2609532.63,1869271.31,193577.55,669440.18,605995.11,61958.73,1486.34,conventional,2015,California
3/29/15,1.53,111423.89,56829.47,44390.86,0,10203.56,10203.56,0,0,organic,2015,California
3/29/15,1.09,2971443.88,456518.93,1472879.42,196545.04,845500.49,758625.31,82421.91,4453.27,conventional,2015,Great Lakes
3/29/15,1.62,64282.45,2606.14,51107.34,0,10568.97,9963.32,605.65,0,organic,2015,Great Lakes
3/29/15,1.18,2523110.39,576473.89,1160794.38,203057.64,582784.48,547007.1,35421.43,355.95,conventional,2015,Midsouth
3/29/15,1.65,64688.75,10530.83,30083.37,4781.66,19292.89,17345.15,1947.74,0,organic,2015,Midsouth
3/29/15,1.26,3497026.98,96169.31,2543290.15,5707.16,851860.36,769079.25,82778.21,2.9,conventional,2015,Northeast
3/29/15,1.95,46496.41,5533.31,16533.45,90.99,24338.66,24298.66,40,0,organic,2015,Northeast
3/29/15,1.08,1657404.68,912075.07,441015.24,10085.33,294229.04,286268.48,6846.07,1114.49,conventional,2015,Plains
3/29/15,1.85,34062.08,3489.99,17818.18,20.63,12733.28,12479.89,253.39,0,organic,2015,Plains
3/29/15,0.82,5713017.35,3091049.63,1836365.62,89374.2,696227.9,633029.23,63160.07,38.6,conventional,2015,South Central
3/29/15,1.42,60007.19,28872.83,5897.44,0,25236.92,25143.34,93.58,0,organic,2015,South Central
3/29/15,1.16,2558925.23,1804282.66,205041.11,23224.7,526376.76,379305.43,147071.33,0,conventional,2015,Southeast
3/29/15,1.84,29745.23,14076.38,7149.66,865.07,7654.12,7384.28,269.84,0,organic,2015,Southeast
3/29/15,0.93,5719898.26,2978534.92,2012384.12,89701.26,639277.96,508576.86,130691.45,9.65,conventional,2015,West
3/29/15,1.54,263845.02,71334.94,151939.31,36.04,40534.73,6885.37,33649.36,0,organic,2015,West
4/5/15,1.12,5467155.55,2754464.87,1886168.89,225396.85,601124.94,539258.29,59212.09,2654.56,conventional,2015,California
4/5/15,1.52,120814.24,57082.3,51295.72,0,12436.22,12436.22,0,0,organic,2015,California
4/5/15,1.18,2938918.81,504487.79,1595354.39,221603.31,617473.32,552075.78,61643.12,3754.42,conventional,2015,Great Lakes
4/5/15,1.51,81495.39,2559.69,60473.81,0,18461.89,9256.24,9205.65,0,organic,2015,Great Lakes
4/5/15,1.19,2519677.31,617567.29,1066608.5,183653.85,651847.67,607923.59,42910.27,1013.81,conventional,2015,Midsouth
4/5/15,1.65,68150.51,10574.96,31229.73,4688.87,21656.95,17759.54,3897.41,0,organic,2015,Midsouth
4/5/15,1.34,3467770.71,97887.72,2409449.74,6203.7,954229.55,869574.86,83524.01,1130.68,conventional,2015,Northeast
4/5/15,1.91,52969.72,3446.17,15316.65,48.13,34158.77,33977.73,181.04,0,organic,2015,Northeast
4/5/15,1.13,1668243.39,898263.98,437183.58,11645.81,321150.02,305406.51,9584.33,6159.18,conventional,2015,Plains
4/5/15,1.81,36535.72,3534.09,18648.77,48.2,14304.66,12419.92,1884.74,0,organic,2015,Plains
4/5/15,0.83,6368728.85,3676642.17,1856953.2,104285.22,730848.26,670637.73,58681.56,1528.97,conventional,2015,South Central
4/5/15,1.4,76942.46,39792.84,8032.39,768.15,28349.08,28046.67,302.41,0,organic,2015,South Central
4/5/15,1.08,3140456.17,2257669.21,252737.98,26137.34,603911.64,387483.75,215544.56,883.33,conventional,2015,Southeast
4/5/15,1.78,30801.68,11237.65,8453.37,802.8,10307.86,8803.26,1504.6,0,organic,2015,Southeast
4/5/15,0.95,5929718.67,3132031.4,2022524.08,93055.21,682107.98,544939.22,135414.81,1753.95,conventional,2015,West
4/5/15,1.69,194132.3,69519.19,82145.27,78.72,42389.12,8993.07,33396.05,0,organic,2015,West
4/12/15,1.06,5636644.51,2848184,1988818.23,185198.77,614443.51,532714.02,79865.3,1864.19,conventional,2015,California
4/12/15,1.5,119549.28,59861.05,49554.48,0,10133.75,10133.75,0,0,organic,2015,California
4/12/15,1.11,2895992.9,548501.37,1403326.56,190091.28,754073.69,688965.8,60642.37,4465.52,conventional,2015,Great Lakes
4/12/15,1.42,149583.28,3254.92,135705.27,0,10623.09,8421.24,2201.85,0,organic,2015,Great Lakes
4/12/15,1.13,2829416.58,665283.33,1298472.42,185691.58,679969.25,635124.32,44745.79,99.14,conventional,2015,Midsouth
4/12/15,1.53,76027.78,10623.07,38006.99,5014.1,22383.62,14962.2,7421.42,0,organic,2015,Midsouth
4/12/15,1.33,3203213.09,93987.65,2102179.57,5306.97,1001738.9,920108.45,81630.45,0,conventional,2015,Northeast
4/12/15,1.81,69377.2,6165.15,22584.41,27.38,40600.26,40303.57,296.69,0,organic,2015,Northeast
4/12/15,0.97,2160085.64,1423163.45,471484.38,12343.11,253094.7,246327.83,5726.34,1040.53,conventional,2015,Plains
4/12/15,1.82,31363.93,3059.06,17207.03,9.2,11088.64,8861.94,2226.7,0,organic,2015,Plains
4/12/15,0.8,5930072.71,3851189.34,1385674.25,102729.01,590480.11,536034.76,54424.19,21.16,conventional,2015,South Central
4/12/15,1.4,71697.82,42155.69,5686.47,36.67,23818.99,23576.67,242.32,0,organic,2015,South Central
