year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute,1:nrow(fly),is.late
2013,9,2,2136,156,23,171,DL,N993DL,947,LGA,ATL,115,762,21,36,2599,TRUE
2013,2,20,1233,-7,1411,-35,DL,N364NB,1131,LGA,DTW,83,502,12,33,352,FALSE
2013,6,23,726,-4,907,-23,DL,N982DL,831,LGA,DTW,76,502,7,26,84,FALSE
2013,6,2,1000,0,1247,16,DL,N689DL,1847,LGA,ATL,110,762,10,0,3732,TRUE
2013,8,18,1559,-1,1843,-1,DL,N931DL,847,LGA,ATL,125,762,15,59,1746,FALSE
2013,8,28,2315,436,158,399,DL,N3763D,1373,JFK,MIA,134,1089,23,15,2874,TRUE
2013,9,18,1450,-5,1601,-13,DL,N722TW,1164,JFK,BOS,44,187,14,50,4290,FALSE
2013,12,13,1826,-4,2039,-15,DL,N933DL,2331,JFK,DTW,93,509,18,26,4513,FALSE
2013,10,14,1337,-3,1630,-23,DL,N985DL,1779,LGA,FLL,142,1076,13,37,298,FALSE
2013,11,27,2022,7,2351,-3,DL,N199DN,427,JFK,LAX,326,2475,20,22,4329,FALSE
2013,2,27,1126,14,1325,2,DL,N315NB,1573,LGA,MEM,150,963,11,26,3770,TRUE
2013,2,20,1127,-3,1412,-18,DL,N971DL,2297,JFK,MCO,141,944,11,27,1976,FALSE
2013,12,8,813,-2,1120,-15,DL,N996DL,2087,JFK,FLL,157,1069,8,13,2260,FALSE
2013,12,10,1334,34,1634,54,DL,N980DL,781,LGA,ATL,134,762,13,34,92,TRUE
2013,7,8,1447,32,1659,30,DL,N306DQ,673,EWR,ATL,101,746,14,47,1175,TRUE
2013,1,22,1742,22,2130,57,DL,N365NW,1779,LGA,FLL,173,1076,17,42,1374,TRUE
2013,12,6,1727,-3,2206,54,DL,N727TW,434,JFK,SFO,438,2586,17,27,3154,TRUE
2013,2,17,1537,-3,1852,-17,DL,N357NW,1411,JFK,FLL,165,1069,15,37,3610,FALSE
2013,11,11,1828,-2,2141,-19,DL,N718TW,442,JFK,SEA,328,2422,18,28,449,FALSE
2013,6,26,1634,35,2005,82,DL,N900DE,847,LGA,ATL,106,762,16,34,852,TRUE
2013,7,31,1606,7,1852,-18,DL,N3748Y,706,JFK,AUS,195,1521,16,6,807,FALSE
2013,8,11,858,-2,1240,44,DL,N705TW,120,JFK,LAX,349,2475,8,58,123,TRUE
2013,8,9,1228,-2,1538,-20,DL,N335NB,2098,LGA,MIA,159,1096,12,28,1433,FALSE
2013,8,19,914,-1,1212,-16,DL,N3744F,2379,LGA,FLL,157,1076,9,14,4689,FALSE
2013,12,2,1639,-6,2014,0,DL,N707TW,477,JFK,LAX,339,2475,16,39,3757,FALSE
2013,9,21,1758,-2,1939,-22,DL,N342NB,2331,LGA,DTW,80,502,17,58,3383,FALSE
2013,8,27,1157,-3,1411,-25,DL,N680DA,1947,LGA,ATL,91,762,11,57,2690,FALSE
2013,8,26,819,-7,1049,-23,DL,N177DZ,1959,JFK,MCO,119,944,8,19,1266,FALSE
2013,9,25,756,-4,1035,-15,DL,N3732J,1959,JFK,MCO,134,944,7,56,2093,FALSE
2013,2,16,1538,-2,1917,9,DL,N359NB,1411,JFK,FLL,187,1069,15,38,3754,TRUE
2013,3,11,1609,24,1918,11,DL,N937DL,2098,LGA,MIA,152,1096,16,9,2584,TRUE
2013,9,22,1209,9,1436,1,DL,N616DL,1947,LGA,ATL,113,762,12,9,768,TRUE
2013,5,22,1900,15,2225,29,DL,N906DE,2391,JFK,TPA,135,1005,19,0,488,TRUE
2013,8,14,1451,-4,1717,2,DL,N322NB,127,JFK,DTW,86,509,14,51,1450,TRUE
2013,1,25,824,9,1121,3,DL,N388DA,1429,JFK,LAS,322,2248,8,24,1157,TRUE
2013,6,17,1949,19,2246,2,DL,N360NW,1854,LGA,FLL,148,1076,19,49,1519,TRUE
2013,2,7,901,-4,1209,-17,DL,N360NB,2379,LGA,FLL,155,1076,9,1,3537,FALSE
2013,11,12,1840,0,2235,39,DL,N318NB,2139,LGA,MIA,172,1096,18,40,1478,TRUE
2013,5,7,754,-6,936,-25,DL,N365NB,2245,EWR,MSP,131,1008,7,54,4552,FALSE
2013,8,23,1056,1,1347,-24,DL,N346NB,1903,LGA,SRQ,147,1047,10,56,2693,FALSE
2013,3,2,1536,181,1826,157,DL,N3739P,1375,JFK,SLC,268,1990,15,36,1463,TRUE
2013,5,18,1058,-2,1259,-5,DL,N338NB,1031,LGA,DTW,83,502,10,58,1220,FALSE
2013,5,26,1856,-4,2134,-25,DL,N399DA,2159,JFK,MCO,121,944,18,56,2165,FALSE
2013,9,8,1639,-3,1823,-14,DL,N372NW,545,EWR,DTW,83,488,16,39,3920,FALSE
2013,4,30,1723,-2,2020,-16,DL,N314US,1185,EWR,SLC,271,1969,17,23,401,FALSE
2013,5,20,1901,1,2216,-22,DL,N722TW,87,JFK,LAX,318,2475,19,1,2946,FALSE
